title,summary,alternative_names
Ethmoiditis,Ethmoiditis is an infection or inflammation of the ethmoidal cells in the sinuses. These are the air-filled spaces behind the nose and between the eyes.Ethmoiditis is a type of sinusitis.,
Ethylene glycol blood test,This test measures the level of ethylene glycol in the blood.Ethylene glycol is a type of alcohol found in automotive and household products. It does not have color or odor. It tastes sweet. Ethylene glycol is poisonous. People sometimes drink ethylene glycol by mistake or on purpose as a substitute for drinking alcohol or when attempting suicide.,
Ethylene glycol poisoning,"Ethylene glycol is a colorless, odorless, sweet-tasting chemical. It is poisonous if swallowed.Ethylene glycol may be swallowed accidentally, or it may be taken deliberately in a suicide attempt or as a substitute for drinking alcohol (ethanol). Most ethylene glycol poisonings occur due to the ingestion of antifreeze.This article is for information only. DO NOT use it to treat or manage an actual poison exposure. If you or someone you are with has an exposure, call the local emergency number (such as 911), or your local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",Intoxication - ethylene glycol
Etiology,Etiology describes the cause or causes of a disease.,
Eucalyptus oil overdose,"Eucalyptus oil overdose occurs when someone swallows a large amount of a product that contains this oil. This can be by accident or on purpose.This article is for information only. DO NOT use it to treat or manage an actual overdose. If you or someone you are with has an overdose, call your local emergency number (such as 911), or your local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",
Eugenol oil overdose,"Eugenol oil (clove oil) overdose occurs when someone swallows a large amount of a product that contains this oil. This can be by accident or on purpose.This article is for information only. DO NOT use it to treat or manage an actual overdose. If you or someone you are with has an overdose, call your local emergency number (such as 911), or your local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",Clove oil overdose
Eustachian tube patency,"Eustachian tube patency refers to how much the eustachian tube is open. The eustachian tube runs between the middle ear and the throat. It controls the pressure behind the eardrum in the middle ear space. This helps keep the middle ear free of fluid.The eustachian tube is normally open, or patent. However, some conditions can increase pressure in the ear such as:Ear infectionsUpper respiratory infectionsAltitude changesThese can cause the eustachian tube to become blocked.",
Ewing sarcoma,Ewing sarcoma is a malignant bone tumor that forms in the bone or soft tissue around it. It affects mostly teens and young adults.,Bone cancer - Ewing sarcoma; Ewing family of tumors; Primitive neuroectodermal tumors (PNET); Bone neoplasm - Ewing sarcoma; Ewing's sarcoma
Excessive carrying angle of the elbow,"When your arms are held out at your sides and your palms are facing forward, your forearm and hands should normally point about 5 to 15 degrees away from your body. This is the normal ""carrying angle"" of the elbow. This angle allows your forearms to clear your hips when you swing your arms, such as during walking or other activities. It is also important when carrying objects.Certain fractures of the elbow can increase the carrying angle of the elbow, causing the arms to stick out too much from the body. This is called an excessive carrying angle.Other fractures of the elbow can decrease the carrying angle of the elbow. If the angle is decreased, the arm points toward the body. This is known as a ""gunstock deformity.""Because the carrying angle varies from person to person, it is important to compare one elbow with the other when evaluating a problem with the carrying angle.",
Excessive crying in infants,"Crying is an important way for infants to communicate. But, when a baby cries a lot, it may be a sign of something that needs treatment.",Infants - excessive crying; Well child - excessive crying
Excessive or unwanted hair in women,"Most of the time, women have fine hair above their lips and on their chin, chest, abdomen, or back. The growth of coarse dark hair in these areas (more typical of male-pattern hair growth) is called hirsutism.",Hypertrichosis; Hirsutism; Hair - excessive (women); Excessive hair in women; Hair - women - excessive or unwanted
Exchange transfusion,Exchange transfusion is a potentially life-saving procedure that is done to counteract the effects of serious jaundice or changes in the blood due to diseases such as sickle cell anemia.The procedure involves slowly removing the person's blood and replacing it with fresh donor blood or plasma.,Hemolytic disease - exchange transfusion
Exercise and activity - children,"Children should have many chances to play, run, bike, and play sports during the day. They should get 60 minutes of moderate activity every day.Moderate activity makes your breathing and heartbeat speed up. Some examples are:Walking fastPlaying chase or tagPlaying basketball and most other organized sports (such as soccer, swimming, and dancing) Younger children cannot stick with the same activity as long as an older child. They may be active at one activity for only 10 to 15 minutes at a time. The goal is still to get 60 minutes of total activity every day.",
Exercise and activity for weight loss,"An active lifestyle and exercise routine, along with eating healthy foods, is the best way to lose weight.",Weight loss - activity; Weight loss - exercise; Obesity - activity
Exercise and age,"It is never too late to start exercising. Exercise has benefits at any age. Staying active will allow you to continue being independent and the lifestyle you enjoy. The right kinds of regular exercise can also reduce your risk of heart disease, diabetes, and falls.",Age and exercise
Exercise and immunity,Battling another cough or cold? Feeling tired all the time? You may feel better if you take a daily walk or follow a simple exercise routine a few times a week.,
Exercise clothing and shoes,"When exercising, what you wear can be just as important as what you do. Having the right footwear and clothing for your sport can give you both comfort and safety.Thinking about where and how you exercise can help you choose the best clothing and shoes for your workouts. You can find many of the items you need at your local sporting goods, department, or discount stores or online.",Fitness - exercise clothing
Exercise stress test,An exercise stress test is used to measure the effect of exercise on your heart.,Exercise ECG; ECG - exercise treadmill; EKG - exercise treadmill; Stress ECG; Exercise electrocardiography; Stress test - exercise treadmill; CAD - treadmill; Coronary artery disease - treadmill; Chest pain - treadmill; Angina - treadmill; Heart disease - treadmill
"Exercise, lifestyle, and your bones","Osteoporosis, or weak bones, is a disease that causes bones to become brittle and more likely to fracture (break). With osteoporosis, the bones lose density. Bone density is the amount of calcified bone tissue in your bones.A diagnosis of osteoporosis means you are at risk for bone fractures even with everyday activities or minor accidents or falls.Exercise plays a key role in preserving bone density as you age.",Osteoporosis - exercise; Low bone density - exercise; Osteopenia - exercise
Exercise-induced asthma,"Sometimes exercise triggers asthma symptoms. This is called exercise-induced bronchoconstriction (EIB). In the past, this was called exercise-induced asthma. Exercise does not cause asthma, but it can cause airways to constrict (narrow). Most people with asthma have EIB, but not everyone with EIB has asthma.The symptoms of EIB are coughing, wheezing, a feeling of tightness in your chest, or shortness of breath. Most times, these symptoms start soon after you stop exercising. Some people may have symptoms after they start exercising.",Wheezing - exercise-induced; Reactive airway disease - exercise; Exercise-induced bronchoconstriction
